student_id,sleep_hours,study_hours_per_day,heart_rate_bpm,academic_workload,caffeine_intake_mg,physical_activity_min,social_interaction_hrs,gpa,perceived_control,stress_level
STU_341,5.3,5.9,87,9,292.0,40.0,2.7,2.25,1,High Stress
STU_342,6.9,7.7,68,2,397.0,27.0,4.2,2.92,5,Low Stress
STU_343,6.9,3.2,68,3,179.0,49.0,2.7,3.51,8,No Stress
STU_344,5.7,7.0,66,4,305.0,69.0,4.1,2.58,3,Medium Stress
STU_345,5.8,6.4,91,10,280.0,45.0,3.3,3.18,6,High Stress
STU_346,6.8,7.2,58,1,291.0,54.0,4.2,3.19,5,No Stress
STU_347,4.3,6.7,88,7,295.0,17.0,1.6,3.19,6,High Stress
STU_348,4.4,12.0,75,2,461.0,27.0,2.9,3.59,10,Medium Stress
STU_349,5.4,4.4,76,5,209.0,37.0,1.8,2.45,1,High Stress
STU_350,6.2,4.7,58,1,254.0,42.0,3.8,3.59,7,No Stress
STU_351,7.0,4.4,66,3,174.0,71.0,3.6,4.0,9,No Stress
STU_352,8.7,4.6,64,2,245.0,71.0,4.8,2.14,2,No Stress
STU_353,7.8,4.4,63,1,244.0,40.0,3.0,3.85,10,No Stress
STU_354,6.3,9.0,78,7,361.0,51.0,2.4,2.48,5,High Stress
STU_355,6.5,9.6,79,5,322.0,56.0,3.7,3.91,10,Low Stress
STU_356,5.0,4.6,66,1,193.0,57.0,1.7,2.61,4,No Stress
STU_357,6.5,3.9,71,6,225.0,73.0,3.6,3.46,6,No Stress
STU_358,6.1,7.2,73,5,301.0,31.0,2.0,2.93,6,Medium Stress
STU_359,7.0,4.6,71,3,181.0,40.0,4.2,2.02,2,Low Stress
STU_360,5.3,7.6,83,7,301.0,23.0,1.7,2.27,2,High Stress
STU_361,7.3,6.5,89,10,303.0,50.0,4.1,2.32,4,High Stress
STU_362,8.8,2.2,80,9,143.0,70.0,4.9,2.33,1,Medium Stress
STU_363,6.3,9.9,85,9,389.0,63.0,2.6,3.21,9,High Stress
STU_364,7.1,10.5,91,9,406.0,51.0,4.0,3.27,7,High Stress
STU_365,7.5,4.5,70,2,196.0,50.0,4.0,2.84,7,No Stress
STU_366,5.9,5.0,70,3,197.0,48.0,2.5,2.48,3,Low Stress
STU_367,6.8,6.7,81,7,333.0,38.0,2.6,2.87,3,High Stress
STU_368,6.5,6.8,69,5,278.0,80.0,1.7,2.25,1,High Stress
STU_369,6.6,7.6,75,2,353.0,25.0,3.6,2.37,3,Low Stress
STU_370,5.3,11.0,69,3,481.0,45.0,1.4,2.53,3,High Stress
STU_371,6.5,5.6,83,10,276.0,79.0,3.3,2.72,4,High Stress
STU_372,7.2,4.0,77,6,177.0,53.0,3.4,2.81,4,Low Stress
STU_373,8.7,2.6,77,7,153.0,59.0,4.9,2.27,3,No Stress
STU_374,7.9,4.2,81,9,196.0,52.0,3.7,3.92,10,No Stress
STU_375,9.5,5.9,64,1,229.0,64.0,4.5,2.9,8,No Stress
STU_376,5.3,10.5,78,7,427.0,62.0,3.2,3.31,8,High Stress
STU_377,7.8,4.7,88,8,179.0,24.0,4.2,2.08,1,High Stress
STU_378,6.8,6.6,65,3,317.0,74.0,3.7,3.39,7,No Stress
STU_379,9.5,6.0,77,4,246.0,46.0,5.1,2.36,2,Low Stress
STU_380,5.3,9.0,87,10,371.0,38.0,1.4,2.0,1,High Stress
STU_381,5.2,12.0,85,6,478.0,35.0,3.2,2.34,3,High Stress
STU_382,5.6,4.7,82,10,207.0,52.0,3.3,2.76,4,High Stress
STU_383,3.5,4.8,88,7,236.0,7.0,0.9,3.06,6,High Stress
STU_384,5.7,8.6,74,4,337.0,51.0,2.7,3.68,10,Low Stress
STU_385,5.4,7.7,77,8,346.0,73.0,2.7,2.8,5,High Stress
STU_386,6.7,10.6,79,5,381.0,30.0,3.2,2.86,4,High Stress
STU_387,7.0,7.5,68,1,316.0,55.0,3.8,3.34,8,No Stress
STU_388,9.3,5.1,65,4,287.0,56.0,5.8,2.7,4,No Stress
STU_389,7.9,7.5,69,3,282.0,64.0,4.8,4.0,10,No Stress
STU_390,5.6,8.8,78,9,338.0,44.0,1.8,2.08,2,High Stress
STU_391,5.2,8.1,82,8,349.0,32.0,3.1,2.17,3,High Stress
STU_392,7.2,7.3,68,1,311.0,61.0,4.7,3.24,6,No Stress
STU_393,4.5,8.7,74,6,365.0,64.0,2.6,3.3,8,Medium Stress
STU_394,9.2,8.9,80,9,376.0,62.0,5.5,3.38,8,Low Stress
STU_395,8.3,9.5,76,7,402.0,71.0,5.8,3.46,9,Low Stress
STU_396,5.8,7.6,82,4,349.0,25.0,3.7,3.21,7,Low Stress
STU_397,3.9,5.6,64,1,258.0,19.0,2.1,2.68,2,Medium Stress
STU_398,8.5,6.4,62,2,267.0,68.0,5.1,3.6,8,No Stress
STU_399,6.3,9.0,76,5,385.0,70.0,3.3,3.43,7,Medium Stress
STU_400,8.4,4.0,78,5,247.0,66.0,4.2,3.16,8,No Stress
STU_401,4.1,6.9,85,8,288.0,30.0,1.8,2.31,3,High Stress
STU_402,5.6,5.0,75,6,196.0,44.0,4.1,2.69,7,Low Stress
STU_403,6.5,6.1,92,8,297.0,30.0,2.6,3.64,10,Medium Stress
STU_404,6.6,9.2,71,2,368.0,59.0,4.5,3.81,9,No Stress
STU_405,5.8,6.5,71,3,212.0,58.0,3.3,2.64,3,Low Stress
STU_406,7.4,6.1,75,6,289.0,48.0,2.6,3.76,10,No Stress
STU_407,4.9,2.6,90,10,125.0,32.0,2.7,3.08,6,High Stress
STU_408,6.3,7.9,69,3,324.0,52.0,1.5,2.22,2,Medium Stress
STU_409,6.7,7.6,79,6,326.0,44.0,3.9,2.4,2,High Stress
STU_410,7.3,11.4,81,6,455.0,53.0,4.4,3.05,5,High Stress
STU_411,7.6,5.2,65,2,253.0,87.0,3.3,2.58,5,No Stress
STU_412,4.8,6.5,79,7,264.0,35.0,2.5,3.32,7,Medium Stress
STU_413,4.2,6.6,75,2,296.0,30.0,3.7,2.55,2,Medium Stress
STU_414,8.4,9.9,78,6,389.0,51.0,3.8,3.18,7,Medium Stress
STU_415,7.0,5.8,65,1,275.0,63.0,2.7,3.04,5,No Stress
STU_416,5.4,6.7,76,3,303.0,40.0,3.9,3.64,6,Low Stress
STU_417,8.8,7.5,64,2,284.0,53.0,6.0,3.42,8,No Stress
STU_418,6.7,6.5,77,7,310.0,70.0,3.4,3.88,10,Low Stress
STU_419,8.3,4.9,66,4,205.0,81.0,5.0,2.57,4,No Stress
STU_420,6.6,6.5,79,8,302.0,41.0,4.4,3.3,7,Medium Stress
STU_421,9.5,8.7,80,6,366.0,39.0,4.2,3.17,6,Low Stress
STU_422,9.1,3.4,91,10,224.0,80.0,4.2,3.84,10,No Stress
STU_423,6.1,6.3,69,4,264.0,36.0,4.0,2.16,2,Medium Stress
STU_424,8.0,4.2,72,5,187.0,70.0,5.3,3.48,8,No Stress
STU_425,7.5,9.0,91,9,364.0,25.0,4.2,4.0,10,Medium Stress
STU_426,8.6,2.2,77,7,118.0,75.0,3.6,3.71,9,No Stress
STU_427,5.1,4.6,91,10,235.0,22.0,4.1,3.09,5,High Stress
STU_428,7.5,6.9,79,9,243.0,66.0,3.3,3.75,10,Low Stress
STU_429,8.1,9.9,79,7,365.0,59.0,3.8,2.87,4,High Stress
STU_430,3.9,5.8,67,1,221.0,19.0,2.2,3.14,6,Low Stress
STU_431,4.7,4.6,79,8,240.0,32.0,3.6,3.25,8,Medium Stress
STU_432,3.5,10.7,77,4,476.0,41.0,2.4,2.6,3,High Stress
STU_433,6.1,2.4,73,3,131.0,48.0,3.4,3.6,10,No Stress
STU_434,7.6,1.0,78,7,80.0,64.0,4.2,2.05,1,Low Stress
STU_435,8.8,7.1,65,3,301.0,90.0,4.4,2.76,4,No Stress
STU_436,6.6,4.7,89,8,249.0,26.0,3.7,2.78,4,High Stress
STU_437,8.9,3.4,72,6,141.0,88.0,2.4,2.0,1,Low Stress
STU_438,4.4,7.8,80,5,330.0,38.0,2.0,3.83,9,Medium Stress
STU_439,3.9,6.6,76,4,310.0,20.0,2.1,2.65,3,High Stress
STU_440,6.4,4.6,90,8,226.0,28.0,2.3,2.76,5,High Stress
STU_441,7.1,2.8,83,8,154.0,50.0,3.9,2.77,6,Low Stress
STU_442,6.5,8.2,64,1,367.0,63.0,3.1,3.41,8,No Stress
STU_443,3.5,7.6,84,9,235.0,29.0,3.2,2.99,6,High Stress
STU_444,6.4,5.8,73,5,273.0,71.0,4.5,2.56,3,Low Stress
STU_445,4.5,10.6,75,4,401.0,15.0,1.9,3.01,6,High Stress
STU_446,7.5,3.3,75,6,111.0,55.0,3.6,2.0,1,Low Stress
STU_447,7.0,2.2,78,6,142.0,33.0,3.4,2.64,4,Low Stress
STU_448,5.1,4.3,65,2,242.0,46.0,2.2,3.02,6,No Stress
STU_449,5.7,5.9,88,8,252.0,58.0,3.0,3.39,7,Medium Stress
STU_450,4.9,6.6,87,7,310.0,33.0,1.8,3.66,10,Medium Stress
STU_451,6.4,5.4,77,1,287.0,9.0,2.3,2.88,3,Low Stress
STU_452,7.9,6.9,70,5,331.0,60.0,4.4,3.24,9,No Stress
STU_453,5.0,2.9,78,6,201.0,47.0,3.0,3.52,7,Low Stress
STU_454,7.3,9.6,67,4,408.0,60.0,3.0,2.14,1,High Stress
STU_455,5.7,5.8,63,2,255.0,63.0,3.6,2.53,2,Low Stress
STU_456,5.3,8.8,73,4,310.0,26.0,2.1,2.2,1,High Stress
STU_457,6.3,6.9,68,1,284.0,58.0,3.4,3.85,9,No Stress
STU_458,4.9,7.1,78,7,273.0,57.0,3.1,3.54,9,Medium Stress
STU_459,5.7,7.4,76,2,374.0,18.0,2.8,3.04,7,Low Stress
STU_460,4.7,7.1,70,2,293.0,43.0,2.7,4.0,10,No Stress
STU_461,9.4,7.6,91,9,320.0,59.0,4.3,2.52,3,High Stress
STU_462,6.6,9.3,71,5,392.0,48.0,3.1,2.94,5,Medium Stress
STU_463,5.5,6.5,72,2,279.0,48.0,2.6,2.97,4,Low Stress
STU_464,6.8,7.8,89,9,374.0,43.0,2.8,3.05,7,High Stress
STU_465,6.3,5.8,84,9,234.0,38.0,3.0,3.74,9,Medium Stress
STU_466,6.2,9.6,68,1,392.0,48.0,1.9,2.24,2,Medium Stress
STU_467,7.4,4.3,73,3,178.0,38.0,3.3,3.41,8,No Stress
STU_468,7.6,10.5,73,4,378.0,39.0,3.6,3.63,9,Low Stress
STU_469,5.7,5.9,77,7,238.0,54.0,2.6,3.5,10,Low Stress
STU_470,5.6,2.4,89,10,133.0,26.0,2.6,3.64,10,Low Stress
STU_471,6.1,6.3,78,4,258.0,57.0,3.0,3.89,9,No Stress
STU_472,3.5,4.3,69,2,180.0,38.0,2.1,3.98,10,No Stress
STU_473,4.2,8.1,88,7,291.0,9.0,2.8,3.25,7,High Stress
STU_474,8.6,4.4,75,6,202.0,51.0,3.8,3.67,9,No Stress
STU_475,9.0,4.9,63,3,176.0,82.0,3.5,3.56,9,No Stress
STU_476,6.1,1.3,83,6,118.0,32.0,2.2,2.81,3,Low Stress
STU_477,7.4,4.9,74,6,224.0,47.0,3.3,2.68,4,Low Stress
STU_478,7.0,1.0,72,5,41.0,59.0,3.2,2.41,2,No Stress
STU_479,9.5,2.0,68,4,111.0,79.0,4.1,4.0,10,No Stress
STU_480,8.2,7.9,87,10,304.0,55.0,3.1,2.38,3,High Stress
STU_481,6.3,8.0,66,1,340.0,39.0,2.8,3.21,5,Low Stress
STU_482,5.1,7.1,87,10,339.0,62.0,2.7,2.59,5,High Stress
STU_483,4.1,3.6,78,6,120.0,61.0,2.5,3.41,6,Low Stress
STU_484,6.8,5.9,67,2,260.0,65.0,3.0,3.19,7,No Stress
STU_485,5.4,6.0,68,3,255.0,44.0,2.4,3.21,7,No Stress
STU_486,4.4,3.1,86,8,179.0,24.0,1.5,2.0,1,High Stress
STU_487,5.5,9.8,94,10,399.0,31.0,2.7,2.27,2,High Stress
STU_488,4.9,8.2,81,6,314.0,47.0,1.8,3.41,9,Medium Stress
STU_489,9.0,5.4,63,3,229.0,70.0,5.0,3.68,10,No Stress
STU_490,7.8,6.1,77,7,240.0,78.0,2.5,2.33,2,Medium Stress
STU_491,6.5,6.5,65,4,310.0,59.0,3.0,3.27,6,Low Stress
STU_492,8.7,1.0,87,9,86.0,40.0,4.6,2.22,1,Medium Stress
STU_493,6.6,5.4,78,5,296.0,65.0,3.4,2.6,3,Medium Stress
STU_494,5.2,4.3,71,3,199.0,26.0,4.8,2.14,2,Low Stress
STU_495,8.8,3.5,64,2,151.0,57.0,4.7,2.36,3,No Stress
STU_496,7.3,5.3,69,2,190.0,58.0,2.8,3.26,5,No Stress
STU_497,4.9,10.5,63,3,363.0,69.0,2.4,3.65,10,Low Stress
STU_498,6.2,7.6,60,2,268.0,90.0,1.7,3.41,6,No Stress
STU_499,5.2,4.6,74,4,219.0,50.0,2.5,3.57,9,No Stress
STU_500,4.4,7.4,68,2,324.0,34.0,1.5,3.8,10,No Stress
